version:v1.0,,,,,,,,,,,,,,,,
Name [displayName] Required,User name [userPrincipalName] Required,Initial password [passwordProfile] Required,Block sign in (Yes/No) [accountEnabled] Required,First name [givenName],Last name [surname],Job title [jobTitle],Department [department],Usage location [usageLocation],Street address [streetAddress],State or province [state],Country or region [country],Office [physicalDeliveryOfficeName],City [city],ZIP or postal code [postalCode],Office phone [telephoneNumber],Mobile phone [mobile]
Samuel Davis,samuel.davis@busbeecorp.onmicrosoft.com,dJFCrn*l2edl!,No,Samuel,Davis,Systems Administrator,Operations,US,900 Madison Dr,VA,United States,Security Office,Winchester,21728,+1 540 933-9928,+1 571 629-4611
Larry Jackson,larry.jackson@busbeecorp.onmicrosoft.com,UyifDLkDmWJ6!,No,Larry,Jackson,Technical Support Specialist,Engineering,US,600 Pine St,VA,United States,Tech Hub,Alexandria,22287,+1 540 918-2169,+1 571 823-3803
Larry Smith,larry.smith@busbeecorp.onmicrosoft.com,o&IRoL3u6aH#!,No,Larry,Smith,Help Desk Technician,Research,US,200 Oak St,VA,United States,Security Office,Harrisonburg,21729,+1 540 356-7126,+1 571 980-3646
Brandon Ramirez,brandon.ramirez@busbeecorp.onmicrosoft.com,B*zNZV4%5pFC!,No,Brandon,Ramirez,Security Analyst,Human Resources,US,100 Madison Dr,VA,United States,Branch Office,Harrisonburg,21904,+1 540 207-2163,+1 571 924-1964
Mark Jones,mark.jones@busbeecorp.onmicrosoft.com,eQj$EJ!B*q8F!,No,Mark,Jones,SOC Analyst,Marketing,US,400 Broadway,VA,United States,Tech Hub,Arlington,23631,+1 540 562-7939,+1 571 620-8651
Jack Perez,jack.perez@busbeecorp.onmicrosoft.com,AH#!Ggl2JfaQ!,No,Jack,Perez,Network Administrator,Finance,US,300 Washington Ave,VA,United States,Tech Hub,Harrisonburg,23603,+1 540 774-1158,+1 571 314-2232
Jack Ramirez,jack.ramirez@busbeecorp.onmicrosoft.com,a%&zU3iQOpM#!,No,Jack,Ramirez,DevOps Engineer,Marketing,US,600 Cedar Ln,VA,United States,Security Office,Richmond,21142,+1 540 396-7888,+1 571 880-7211
Ryan Brown,ryan.brown@busbeecorp.onmicrosoft.com,Fp6r7^O4#25u!,No,Ryan,Brown,SOC Analyst,Sales,US,500 Maple Ave,VA,United States,Security Office,Richmond,24069,+1 540 841-4919,+1 571 481-8206
Ryan Rodriguez,ryan.rodriguez@busbeecorp.onmicrosoft.com,&dYdk2r7xgHW!,No,Ryan,Rodriguez,Software Engineer,Operations,US,800 Pine St,VA,United States,Data Center,Norfolk,22379,+1 540 970-7906,+1 571 458-2341
Justin Jackson,justin.jackson@busbeecorp.onmicrosoft.com,894RxgG9oiZ!!,No,Justin,Jackson,Security Analyst,Support,US,100 Elm St,VA,United States,Security Office,Fairfax,22589,+1 540 287-5066,+1 571 321-7818
Joseph Johnson,joseph.johnson@busbeecorp.onmicrosoft.com,EuNb0lCo7pt@!,No,Joseph,Johnson,DevOps Engineer,Research,US,500 Cedar Ln,VA,United States,Data Center,Charlottesville,22096,+1 540 667-3369,+1 571 592-4122
Timothy Adams,timothy.adams@busbeecorp.onmicrosoft.com,tj8HRYkQ&WO!!,No,Timothy,Adams,Vulnerability Analyst,IT,US,1000 Broadway,VA,United States,Tech Hub,Alexandria,22454,+1 540 432-2480,+1 571 644-2612
Benjamin Baker,benjamin.baker@busbeecorp.onmicrosoft.com,E@sD7G6Gb7K*!,No,Benjamin,Baker,Help Desk Technician,Security,US,800 Pine St,VA,United States,Remote,Blacksburg,23575,+1 540 906-5097,+1 571 667-5949
Kathleen Johnson,kathleen.johnson@busbeecorp.onmicrosoft.com,PCi7M0orfeM@!,No,Kathleen,Johnson,IT Specialist,Security,US,400 Jefferson St,VA,United States,Data Center,Fairfax,23816,+1 540 579-9850,+1 571 629-3531
